t c1 +- c2 +- c3 +- c4 +- c5 +- c6 +- c7 +- c8 +-
54237.128 0.053 0.004 +0.07 0.03 14.22 0.01 14.49 0.01 13.29 0.01 13.20 0.01 13.12 0.01 13.19 0.01 
54245.406 0.144 0.004 +0.06 0.03 14.19 0.01 14.42 0.01 13.20 0.01 13.08 0.01 12.95 0.01 13.01 0.01 
54279.073 0.076 0.012 +0.10 0.07 14.19 0.01 14.44 0.01 13.23 0.01 13.09 0.01 12.98 0.01 13.04 0.01 
54281.314 0.082 0.006 +0.04 0.07 14.15 0.01 14.41 0.01 13.22 0.01 13.10 0.01 12.97 0.01 13.04 0.01 
54283.751 0.109 0.007 -0.15 0.06 14.18 0.01 14.42 0.01 13.23 0.01 13.05 0.01 12.93 0.01 12.98 0.01 
54362.219 0.420 0.020 -0.15 0.05 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
54368.141 0.634 0.021 -0.07 0.03 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
54377.068 0.154 0.011 +0.25 0.07 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
54380.795 0.324 0.011 -0.05 0.03 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
54381.799 0.137 0.007 +0.05 0.05 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
54382.569 0.380 0.010 -0.01 0.03 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
54383.569 0.232 0.009 +0.03 0.04 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
54384.514 0.451 0.013 -0.12 0.03 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
54386.084 0.494 0.009 +0.01 0.02 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
54390.198 0.885 0.025 -0.01 0.02 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 
54391.327 1.277 0.020 -0.01 0.05 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
54393.000 0.881 0.020 -0.03 0.01 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
54394.899 1.109 0.025 -0.07 0.02 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
54404.766 0.978 0.032 -0.12 0.03 14.16 0.02 14.38 0.01 13.20 0.01 13.01 0.01 12.93 0.01 12.93 0.01 
54439.194 0.754 0.015 -0.03 0.02 14.10 0.01 14.35 0.01 13.10 0.01 12.93 0.01 12.79 0.01 12.81 0.01 
54446.536 0.652 0.023 -0.03 0.03 14.12 0.02 14.31 0.01 13.11 0.01 12.94 0.01 12.77 0.01 12.81 0.01 
54453.890 0.298 0.013 -0.05 0.05 14.14 0.02 14.35 0.01 13.14 0.01 12.98 0.01 12.87 0.01 12.92 0.01 
54460.586 0.253 0.012 -0.06 0.05 14.19 0.02 14.40 0.01 13.15 0.01 13.02 0.01 12.90 0.01 12.94 0.01 
54467.404 0.925 0.024 -0.10 0.02 14.16 0.01 14.39 0.01 13.19 0.01 13.01 0.01 12.87 0.01 12.91 0.01 
54474.935 0.534 0.018 -0.01 0.03 14.13 0.01 14.37 0.01 13.18 0.01 13.10 0.01 12.88 0.01 12.92 0.01 
