mjd          cr      cr_err  hr      hr_err	    f_w2       f_w2_e
54237.128    0.053   0.004   +0.07   0.03   5.463849e-14 5.029482e-16
54245.406    0.144   0.004   +0.06   0.03   6.449094e-14 5.936401e-16
54279.073    0.076   0.012   +0.10   0.07   6.215824e-14 5.721676e-16
54281.314    0.082   0.006   +0.04   0.07   6.273338e-14 5.774618e-16
54283.751    0.109   0.007   -0.15   0.06   6.691118e-14 6.159185e-16
54362.219    0.420   0.020   -0.15   0.05  	      NA	   NA
54368.141    0.634   0.021   -0.07   0.03  	      NA	   NA
54377.068    0.154   0.011   +0.25   0.07  	      NA	   NA 
54380.795    0.324   0.011   -0.05   0.03  	      NA	   NA
54381.799    0.137   0.007   +0.05   0.05  	      NA	   NA
54382.569    0.380   0.010   -0.01   0.03  	      NA	   NA
54383.569    0.232   0.009   +0.03   0.04  	      NA	   NA
54384.514    0.451   0.013   -0.12   0.03  	      NA	   NA
54386.084    0.494   0.009   +0.01   0.02  	      NA	   NA
54390.198    0.885   0.025   -0.01   0.02  	      NA	   NA
54391.327    1.277   0.020   -0.01   0.05  	      NA	   NA
54393.000    0.881   0.020   -0.03   0.01  	      NA	   NA
54394.899    1.109   0.025   -0.07   0.02  	      NA	   NA
54404.766    0.978   0.032   -0.12   0.03   7.006461e-14 6.449458e-16
54439.194    0.754   0.015   -0.03   0.02   7.825259e-14 7.203163e-16
54446.536    0.652   0.023   -0.03   0.03   7.825259e-14 7.203163e-16
54453.890    0.298   0.013   -0.05   0.05   7.071291e-14 6.509134e-16
54460.586    0.253   0.012   -0.06   0.05   6.878579e-14 6.331742e-16
54467.404    0.925   0.024   -0.10   0.02   7.071291e-14 6.509134e-16
54474.935    0.534   0.018   -0.01   0.03   7.071291e-14 6.509134e-16
54618.619    0.503   0.026   +0.01   0.03   6.273338e-14 5.774618e-16
54625.095    0.892   0.028   -0.10   0.02   6.815516e-14 6.273693e-16
54632.074    1.058   0.033   +0.02   0.02   6.508767e-14 5.991330e-16
54639.484    1.121   0.015   -0.06   0.01   6.815516e-14 6.273693e-16
54646.645    0.382   0.013   -0.08   0.03   6.331385e-14 5.828050e-16
54653.030    0.800   0.025   -0.00   0.03   7.006461e-14 6.449458e-16
54660.909    1.093   0.040   -0.04   0.03   6.942226e-14 6.390329e-16
54667.165    1.000   0.043   -0.04   0.03   6.691118e-14 6.159185e-16
54674.390    1.206   0.034   -0.09   0.03   6.691118e-14 6.159185e-16
54681.542    1.078   0.028   +0.04   0.02   7.404551e-14 6.815900e-16
54688.615    1.138   0.030   -0.11   0.02   7.071291e-14 6.509134e-16
54696.012    0.781   0.025   -0.03   0.03   6.331385e-14 5.828050e-16
54702.394    1.315   0.037   +0.01   0.03   6.389969e-14 5.881976e-16
54709.855    0.502   0.017   +0.02   0.03   4.983090e-14 4.586942e-16
54716.517    0.348   0.014   +0.02   0.04   5.314944e-14 4.892414e-16
54723.859    0.532   0.019   -0.04   0.03   5.936066e-14 5.464158e-16
54730.754    0.809   0.027   -0.06   0.03   5.881644e-14 5.414062e-16
54737.630    0.605   0.024   +0.02   0.03   5.413757e-14 4.983371e-16
54744.325    0.907   0.032   -0.04   0.03   5.565430e-14 5.122987e-16
